No., BCV ,Position,Player,Team, Price , Weighted minutes , Weighted UPPM , PPG - longer term ,Fixture ratio,5,6,7,8,9,10,11,12
97, 0.12 ,M,Luongo,IPS, 4.5 , 25.00 , 0.026 , 0.66 ,107%, 0.73 , 0.70 , 0.64 , 0.70 , 0.62 , 0.85 , 0.59 , 0.68 
98, 0.23 ,M,Morsy,IPS, 4.9 , 83.00 , 0.027 , 2.26 ,107%, 2.54 , 2.41 , 2.22 , 2.43 , 2.14 , 2.93 , 2.05 , 2.35 
99, 0.20 ,M,Burns,IPS, 4.9 , 59.00 , 0.036 , 2.12 ,107%, 2.37 , 2.26 , 2.08 , 2.27 , 2.00 , 2.74 , 1.92 , 2.20 
100, 0.14 ,M,Clarke (Jack),IPS, 5.5 , 34.00 , 0.044 , 1.49 ,107%, 1.68 , 1.59 , 1.46 , 1.60 , 1.41 , 1.94 , 1.36 , 1.55 
101, 0.17 ,M,Phillips (Kalvin),IPS, 5.0 , 66.00 , 0.027 , 1.76 ,107%, 1.97 , 1.87 , 1.72 , 1.89 , 1.66 , 2.28 , 1.59 , 1.82 
102, 0.33 ,M,Szmodics,IPS, 6.0 , 68.50 , 0.045 , 3.12 ,107%, 3.50 , 3.32 , 3.06 , 3.35 , 2.95 , 4.04 , 2.83 , 3.23 
103, 0.23 ,M,Ayew,LEI, 5.4 , 67.13 , 0.037 , 2.42 ,101%, 2.80 , 1.69 , 2.65 , 2.72 , 2.65 , 2.78 , 2.22 , 2.46 
104, 0.12 ,M,DeCordova-Reid,LEI, 5.4 , 26.00 , 0.039 , 1.01 ,101%, 1.08 , 0.70 , 1.10 , 1.13 , 1.10 , 1.15 , 0.92 , 1.02 
105, 0.19 ,M,Mavdidi,LEI, 5.3 , 54.58 , 0.040 , 2.14 ,101%, 2.60 , 1.49 , 2.34 , 2.40 , 2.34 , 2.45 , 1.96 , 2.17 
106, 0.23 ,M,Winks,LEI, 4.5 , 89.00 , 0.025 , 2.23 ,101%, 2.40 , 1.55 , 2.44 , 2.50 , 2.44 , 2.56 , 2.04 , 2.26 
107, 0.16 ,M,Fatawu,LEI, 5.5 , 47.00 , 0.040 , 1.90 ,101%, 2.04 , 1.32 , 2.08 , 2.14 , 2.08 , 2.18 , 1.74 , 1.93 
108, 0.27 ,M,Ndidi,LEI, 5.0 , 76.50 , 0.033 , 2.56 ,101%, 2.75 , 1.78 , 2.80 , 2.88 , 2.81 , 2.94 , 2.35 , 2.60 
109, 0.10 ,M,Soumaré,LEI, 4.5 , 10.00 , 0.023 , 0.23 ,101%, 0.24 , 0.16 , 0.25 , 0.25 , 0.25 , 0.26 , 0.21 , 0.23 
110, 0.11 ,M,Choudhury,LEI, 4.5 , 16.00 , 0.023 , 0.36 ,101%, 0.39 , 0.25 , 0.40 , 0.41 , 0.40 , 0.42 , 0.33 , 0.37 
